SalesOrderNumber,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesAmount
SO46700,381,20220101,20220113,20220108,16942,1000.4375
SO46701,375,20220101,20220113,20220108,15114,2181.5625
SO46702,369,20220101,20220113,20220108,15116,2443.35
SO46703,337,20220101,20220113,20220108,20576,782.99
SO46704,370,20220101,20220113,20220108,13059,2443.35
SO46705,370,20220101,20220113,20220108,13085,2443.35
SO46706,352,20220101,20220113,20220108,20186,2071.4196
SO46707,337,20220101,20220113,20220108,15199,782.99
SO46708,377,20220101,20220113,20220108,21200,2181.5625
SO46709,387,20220102,20220114,20220109,19172,1000.4375
SO46710,356,20220102,20220114,20220109,11484,2071.4196
SO46711,369,20220102,20220114,20220109,13592,2443.35
SO46712,373,20220102,20220114,20220109,13779,2181.5625
SO46713,371,20220102,20220114,20220109,24778,2181.5625
SO46714,368,20220102,20220114,20220109,13093,2443.35
SO46715,375,20220102,20220114,20220109,24976,2181.5625
SO46716,375,20220102,20220114,20220109,25046,2181.5625
SO46717,368,20220102,20220114,20220109,25048,2443.35
SO46718,360,20220102,20220114,20220109,12570,2049.0982
SO46719,362,20220103,20220115,20220110,11604,2049.0982
SO46720,371,20220103,20220115,20220110,13667,2181.5625
SO46721,370,20220103,20220115,20220110,16046,2443.35
SO46722,385,20220103,20220115,20220110,17095,1000.4375
SO46723,368,20220103,20220115,20220110,12918,2443.35
SO46724,368,20220103,20220115,20220110,28663,2443.35
SO46725,369,20220103,20220115,20220110,21191,2443.35
SO46726,373,20220103,20220115,20220110,20999,2181.5625
SO46727,370,20220103,20220115,20220110,21002,2443.35
SO46728,358,20220103,20220115,20220110,12354,2049.0982
SO46729,321,20220103,20220115,20220110,26019,782.99
SO46730,379,20220104,20220116,20220111,15100,2181.5625
SO46731,371,20220104,20220116,20220111,15101,2181.5625
SO46732,385,20220104,20220116,20220111,13992,1000.4375
SO46733,375,20220104,20220116,20220111,24781,2181.5625
SO46734,375,20220104,20220116,20220111,13060,2181.5625
SO46735,371,20220104,20220116,20220111,13226,2181.5625
SO46736,360,20220104,20220116,20220111,12341,2049.0982
SO46737,354,20220104,20220116,20220111,12346,2071.4196
SO46738,362,20220104,20220116,20220111,12576,2049.0982
SO46739,373,20220105,20220117,20220112,15699,2181.5625
SO46740,379,20220105,20220117,20220112,12980,2181.5625
SO46741,370,20220105,20220117,20220112,28766,2443.35
SO46742,358,20220105,20220117,20220112,20206,2049.0982
SO46743,373,20220105,20220117,20220112,21183,2181.5625
SO46744,370,20220105,20220117,20220112,21199,2443.35
SO46745,369,20220106,20220118,20220113,13056,2443.35
SO46746,368,20220106,20220118,20220113,13057,2443.35
SO46747,360,20220106,20220118,20220113,26127,2049.0982
SO46748,360,20220106,20220118,20220113,26252,2049.0982
SO46749,354,20220106,20220118,20220113,12350,2071.4196
SO46750,377,20220107,20220119,20220114,16054,2181.5625
